"idGrupo";"uriGrupo";"nomeGrupo";"membro_idlegislatura";"membro_ordem_entrada";"membro_datainicio";"membro_datafim";"membro_nome";"membro_tipo";"membro_uri";"membro_cargo"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"11";"2023-05-31T00:00:00";"";"JEFERSON RODRIGUES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220567";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"12";"2023-05-31T00:00:00";"";"JORGE BRAZ";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/205550";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"14";"2023-05-31T00:00:00";"";"LUIZ PHILIPPE DE ORLEANS E BRAGANÇA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204526";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"9";"2023-05-31T00:00:00";"";"GILVAN MAXIMO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220531";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"18";"2023-05-31T00:00:00";"";"VINICIUS CARVALHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"6";"2023-02-02T00:00:00";"";"FELIPE CARRERAS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/72442";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"13";"2023-02-02T00:00:00";"";"LÍDICE DA MATA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/139285";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"4";"2023-02-02T00:00:00";"";"CELSO RUSSOMANNO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/73441";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"0";"2023-02-02T00:00:00";"";"MÁRCIO MARINHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"Presidente"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"5";"2024-04-23T00:00:00";"";"DOUGLAS VIEGAS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/227433";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"24";"2024-04-23T00:00:00";"";"SOCORRO NERI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/104552";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"18";"2024-02-28T00:00:00";"";"MARANGONI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220648";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"25";"2024-02-28T00:00:00";"";"VICENTINHO JÚNIOR";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/137070";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"15";"2024-02-28T00:00:00";"";"LÍDICE DA MATA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/139285";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"22";"2024-02-28T00:00:00";"";"SANDERSON";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204416";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"13";"2024-02-28T00:00:00";"";"LAURA CARNEIRO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/74856";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"14";"2024-02-28T00:00:00";"";"LEBRÃO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220600";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"16";"2024-02-28T00:00:00";"";"LUCIO MOSQUINI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178954";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"20";"2024-02-20T00:00:00";"";"RICARDO AYRES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220543";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"19";"2024-02-20T00:00:00";"";"RENILCE NICODEMOS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/153423";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"23";"2024-02-20T00:00:00";"";"SARGENTO GONÇALVES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220621";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"8";"2024-02-20T00:00:00";"";"JADYEL ALENCAR";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220697";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"27";"2024-02-20T00:00:00";"";"ZÉ HAROLDO CATHEDRAL";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220536";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"7";"2023-11-07T00:00:00";"";"GILBERTO ABRAMO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"17";"2023-11-07T00:00:00";"";"LUIS CARLOS GOMES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/222429";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"6";"2023-11-07T00:00:00";"";"FRED LINHARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220534";""
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"4";"2023-11-07T00:00:00";"";"DAVID SOARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";""
