"id";"uri";"nome";"idLegislatura";"dataStatus";"documentoSgm";"presidente";"presidenteUri";"observacao";"oficioTitulo";"oficioAutorTipo";"oficioAutor";"oficioAutorUri";"oficioDataApresentacao";"oficioDataPublicacao"
"10";"https://dadosabertos.camara.leg.br/api/v2/grupos/10";"Brasil/Austrália";"52";"2003-04-10T00:00:00";"";"VILMAR ROCHA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73677";"";"38/2003";"https://dadosabertos.camara.leg.br/api/v2/deputados/73677";"VILMAR ROCHA";"";"2003-04-10T00:00:00";"2003-04-10T00:00:00"
"10";"https://dadosabertos.camara.leg.br/api/v2/grupos/10";"Brasil/Austrália";"51";"2001-04-26T00:00:00";"";"VILMAR ROCHA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73677";"";"20/2001";"https://dadosabertos.camara.leg.br/api/v2/deputados/73677";"VILMAR ROCHA";"";"2001-04-26T00:00:00";"2001-04-26T00:00:00"
"11";"https://dadosabertos.camara.leg.br/api/v2/grupos/11";"Brasil/Áustria";"57";"2023-02-02T00:00:00";"324/2023";"DAVID SOARES";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"David Soares";"";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"11";"https://dadosabertos.camara.leg.br/api/v2/grupos/11";"Brasil/Áustria";"56";"2019-03-19T00:00:00";"1232/2019";"DAVID SOARES";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"";"7/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"DAVID SOARES";"";"2019-03-19T00:00:00";"2019-03-19T00:00:00"
"11";"https://dadosabertos.camara.leg.br/api/v2/grupos/11";"Brasil/Áustria";"55";"2015-10-02T00:00:00";"1569/2015";"PAULO BAUER";"";"Em 02/10/2015, foi recebido o OF 11/15, informando que o Senador Paulo Bauer é o novo Presidente do Grupo, em virtude do falecimento do Presidente anterior.";"4/2015";"";"LUIZ HENRIQUE DA SILVEIRA";"";"2015-03-13T00:00:00";"2015-03-17T00:00:00"
"11";"https://dadosabertos.camara.leg.br/api/v2/grupos/11";"Brasil/Áustria";"55";"2015-03-13T00:00:00";"1569/2015";"LUIZ HENRIQUE DA SILVEIRA";"";"Em 02/10/2015, foi recebido o OF 11/15, informando que o Senador Paulo Bauer é o novo Presidente do Grupo, em virtude do falecimento do Presidente anterior.";"4/2015";"";"LUIZ HENRIQUE DA SILVEIRA";"";"2015-03-13T00:00:00";"2015-03-17T00:00:00"
"11";"https://dadosabertos.camara.leg.br/api/v2/grupos/11";"Brasil/Áustria";"54";"2011-11-03T00:00:00";"7896/2011";"NELSON MARQUEZELLI";"https://dadosabertos.camara.leg.br/api/v2/deputados/73553";"";"4/2011";"https://dadosabertos.camara.leg.br/api/v2/deputados/73553";"NELSON MARQUEZELLI";"";"2011-11-03T00:00:00";"2011-11-08T00:00:00"
"117";"https://dadosabertos.camara.leg.br/api/v2/grupos/117";"Brasil/Bahrein";"57";"2023-02-16T00:00:00";"530/2023";"EDUARDO BOLSONARO";"https://dadosabertos.camara.leg.br/api/v2/deputados/92346";"";"9/2023";"https://dadosabertos.camara.leg.br/api/v2/deputados/92346";"Eduardo Bolsonaro";"";"2023-02-16T00:00:00";"2023-02-16T00:00:00"
"13";"https://dadosabertos.camara.leg.br/api/v2/grupos/13";"Brasil/Belarus";"56";"2019-02-04T00:00:00";"272/2019";"VINICIUS CARVALHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";"";"6/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";"VINICIUS CARVALHO";"";"2019-02-04T00:00:00";"2019-02-04T00:00:00"
"13";"https://dadosabertos.camara.leg.br/api/v2/grupos/13";"Brasil/Belarus";"55";"2015-09-01T00:00:00";"5379/2015";"ALEXANDRE BALDY";"https://dadosabertos.camara.leg.br/api/v2/deputados/178875";"";"4/2015";"https://dadosabertos.camara.leg.br/api/v2/deputados/178875";"ALEXANDRE BALDY";"";"2015-09-01T00:00:00";"2015-09-01T00:00:00"
"13";"https://dadosabertos.camara.leg.br/api/v2/grupos/13";"Brasil/Belarus";"54";"2011-11-10T00:00:00";"8058/2011";"ANDRÉ ZACHAROW";"https://dadosabertos.camara.leg.br/api/v2/deputados/74377";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/74377";"ANDRÉ ZACHAROW";"";"2011-11-10T00:00:00";"2011-11-14T00:00:00"
