"uriOrgao";"siglaOrgao";"nomeOrgao";"nomePublicacaoOrgao";"uriDeputado";"nomeDeputado";"siglaPartido";"siglaUF";"cargo";"dataInicio";"dataFim"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220545";"Filipe Martins";"PL";"TO";"Titular";"2024-03-06";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220545";"Filipe Martins";"PL";"TO";"2º Vice-Presidente";"2024-03-26";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/160598";"Flávia Morais";"PDT";"GO";"Suplente";"2023-03-15";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/160598";"Flávia Morais";"PDT";"GO";"Suplente";"2024-03-07";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220700";"Florentino Neto";"PT";"PI";"Suplente";"2023-03-15";"2023-03-27"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"Franciane Bayer";"REPUBLIC";"RS";"Suplente";"2023-03-15";"2023-09-05"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"Franciane Bayer";"REPUBLIC";"RS";"Suplente";"2023-09-05";"2023-10-10"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"Franciane Bayer";"REPUBLIC";"RS";"Suplente";"2023-10-10";"2024-02-04"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"Franciane Bayer";"REPUBLIC";"RS";"Suplente";"2024-03-06";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/539387";"CPASF";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"Comissão de Previdência, Assistência Social, Infância, Adolescência e Família";"https://dadosabertos.camara.leg.br/api/v2/deputados/100689";"Hildo do Candango";"";"";"Titular";"2024-03-06";"2024-04-11"
